respondent_id,age,occupation,monthly_income,qris_experience,qris_frequency,preferred_payment,main_purchase_channel,ease_1,ease_2,ease_3,benefit_1,benefit_2,benefit_3,security_1,security_2,security_3,decision_1,decision_2,decision_3,ease_score,benefit_score,security_score,decision_score
R165,19,Student,Below 1M,No,Never,Cash,Offline,3,4,4,4,4,4,4,4,3,3,3,3,3.67,4.0,3.67,3.0
R166,23,Student,3M-4.9M,No,Never,QRIS,Online,4,4,4,5,4,4,4,3,4,3,3,3,4.0,4.33,3.67,3.0
R167,20,Student,3M-4.9M,Yes,Very often,QRIS,Both equally,4,4,5,5,4,4,3,1,2,3,4,4,4.33,4.33,2.0,3.67
R168,19,Student,1M-2.9M,No,Never,Debit/Credit Card,Offline,4,4,5,4,4,4,3,3,4,4,4,3,4.33,4.0,3.33,3.67
R169,18,Student,Below 1M,Yes,Rarely,Debit/Credit Card,Both equally,5,4,4,4,4,4,4,3,4,3,2,2,4.33,4.0,3.67,2.33
R170,21,Student,Below 1M,Yes,Sometimes,QRIS,Online,2,3,3,4,5,4,5,4,5,2,2,3,2.67,4.33,4.67,2.33
R171,22,Student,1M-2.9M,Yes,Sometimes,Cash,Online,4,3,3,3,4,4,4,4,4,3,4,3,3.33,3.67,4.0,3.33
R172,18,Employee,5M or more,No,Never,QRIS,Offline,5,4,3,3,4,3,5,4,3,3,3,3,4.0,3.33,4.0,3.0
R173,21,Student,1M-2.9M,No,Never,Debit/Credit Card,Offline,4,5,5,5,5,5,3,3,4,4,4,4,4.67,5.0,3.33,4.0
R174,20,Student,Below 1M,Yes,Sometimes,QRIS,Offline,5,4,5,4,5,5,4,4,4,4,4,4,4.67,4.67,4.0,4.0
R175,22,Student,1M-2.9M,Yes,Sometimes,E-wallet without QRIS,Offline,3,3,4,4,5,4,3,4,4,4,4,3,3.33,4.33,3.67,3.67
R176,19,Other,1M-2.9M,Yes,Often,QRIS,Offline,4,4,3,3,3,3,3,2,3,2,3,2,3.67,3.0,2.67,2.33
R177,22,Student,3M-4.9M,Yes,Rarely,QRIS,Online,3,3,3,3,3,2,4,3,3,3,2,3,3.0,2.67,3.33,2.67
R178,20,Student,Below 1M,Yes,Often,QRIS,Both equally,3,3,4,4,3,4,3,3,3,3,2,3,3.33,3.67,3.0,2.67
R179,24,Other,3M-4.9M,Yes,Often,QRIS,Both equally,5,4,4,3,4,5,3,3,4,2,2,2,4.33,4.0,3.33,2.0
R180,19,Employee,1M-2.9M,Yes,Sometimes,Cash,Online,3,3,4,3,4,5,4,5,5,3,4,3,3.33,4.0,4.67,3.33
R181,20,Employee,5M or more,Yes,Sometimes,QRIS,Offline,4,4,4,3,4,4,2,3,3,3,5,4,4.0,3.67,2.67,4.0
R182,19,Student,Below 1M,No,Never,E-wallet without QRIS,Offline,3,3,3,5,5,5,2,1,2,4,4,3,3.0,5.0,1.67,3.67
R183,24,Student,1M-2.9M,Yes,Often,QRIS,Offline,5,4,4,5,3,3,3,3,2,3,2,2,4.33,3.67,2.67,2.33
R184,23,Student,5M or more,Yes,Often,QRIS,Offline,3,3,3,3,3,4,4,4,4,1,1,2,3.0,3.33,4.0,1.33
R185,20,Self-employed,Below 1M,Yes,Very often,QRIS,Online,3,3,3,3,3,4,4,4,4,2,2,3,3.0,3.33,4.0,2.33
R186,22,Student,5M or more,No,Never,QRIS,Online,1,2,2,3,4,3,4,5,4,2,2,2,1.67,3.33,4.33,2.0
